firsturl,date,chjh,mzelst
NA,"September 01, 2015 at 04:10PM",0,0
NA,"December 01, 2015 at 06:07PM",0,0
NA,"November 03, 2015 at 04:50PM",0,0
https://t.co/zZ1ZgQSEO3,"December 05, 2015 at 02:46PM",1,1
https://t.co/zxSCbaDvma,"November 25, 2015 at 08:02PM",1,1
NA,"October 07, 2015 at 01:09PM",0,0
NA,"October 30, 2015 at 10:35AM",0,0
NA,"September 03, 2015 at 10:04PM",0,0
http://t.co/bFM8SeUIPY,"September 15, 2015 at 09:46PM",1,1
NA,"November 11, 2015 at 04:30PM",0,0
https://t.co/pCNGycoScH,"November 03, 2015 at 03:42PM",0,0
NA,"December 01, 2015 at 04:16PM",0,0
NA,"September 24, 2015 at 09:56PM",0,0
NA,"August 20, 2015 at 06:15AM",1,1
NA,"September 14, 2015 at 05:53PM",1,1
NA,"October 14, 2015 at 09:00PM",0,0
NA,"October 20, 2015 at 11:29AM",0,0
NA,"October 20, 2015 at 11:21AM",0,0
NA,"October 07, 2015 at 04:05PM",0,0
NA,"September 27, 2015 at 08:04PM",0,0
NA,"September 03, 2015 at 10:34AM",0,0
NA,"November 11, 2015 at 01:47PM",0,0
NA,"October 21, 2015 at 10:59AM",0,0
NA,"October 27, 2015 at 05:07PM",0,0
NA,"October 21, 2015 at 05:32PM",0,0
NA,"September 17, 2015 at 02:34PM",1,1
NA,"October 29, 2015 at 05:10PM",1,1
NA,"October 28, 2015 at 04:39AM",0,0
NA,"October 28, 2015 at 11:28PM",0,0
NA,"September 18, 2015 at 11:31AM",0,0
NA,"October 22, 2015 at 09:15PM",0,0
NA,"November 10, 2015 at 05:36PM",0,0
NA,"November 10, 2015 at 05:44PM",0,0
NA,"September 16, 2015 at 10:53AM",0,0
NA,"October 27, 2015 at 12:14AM",0,0
NA,"December 03, 2015 at 05:45PM",0,0
NA,"October 08, 2015 at 10:41PM",0,0
http://t.co/GU6z6CFkWJ,"August 26, 2015 at 01:39PM",0,1
https://t.co/kJGbidTgvG,"October 30, 2015 at 08:18AM",0,0
NA,"August 21, 2015 at 04:01AM",0,0
NA,"November 07, 2015 at 12:03AM",0,0
NA,"November 01, 2015 at 03:38PM",0,0
https://t.co/5qlpGEQdA4,"December 01, 2015 at 08:46AM",0,0
https://t.co/308pYpFi3x,"November 16, 2015 at 10:39PM",0,0
NA,"October 31, 2015 at 02:33AM",0,0
NA,"November 18, 2015 at 10:26AM",0,0
NA,"October 30, 2015 at 04:21PM",0,0
NA,"November 14, 2015 at 01:39PM",0,0
NA,"November 19, 2015 at 07:06PM",0,0
NA,"November 03, 2015 at 01:58PM",0,0
NA,"November 06, 2015 at 12:19PM",0,0
NA,"October 23, 2015 at 01:37AM",0,0
NA,"September 16, 2015 at 08:54PM",0,0
NA,"October 27, 2015 at 05:59PM",0,0
NA,"September 17, 2015 at 04:40PM",0,0
NA,"October 09, 2015 at 06:30PM",0,0
NA,"October 26, 2015 at 06:11PM",0,0
NA,"September 18, 2015 at 03:48PM",0,0
NA,"September 13, 2015 at 02:12AM",0,0
NA,"December 10, 2015 at 03:49PM",0,0
NA,"December 06, 2015 at 09:15PM",0,0
NA,"October 28, 2015 at 04:58AM",0,0
NA,"October 27, 2015 at 10:25AM",0,0
NA,"September 24, 2015 at 02:05AM",0,0
NA,"September 24, 2015 at 12:32PM",0,0
NA,"November 19, 2015 at 10:08PM",0,0
NA,"September 07, 2015 at 12:02PM",0,0
NA,"September 18, 2015 at 07:26PM",0,0
NA,"December 12, 2015 at 01:17AM",0,0
http://t.co/2WDgcMSEnB,"September 10, 2015 at 06:21AM",0,0
NA,"November 30, 2015 at 07:04PM",0,0
NA,"November 01, 2015 at 10:13PM",0,0
NA,"December 11, 2015 at 12:47AM",0,0
NA,"October 22, 2015 at 09:03PM",0,0
NA,"October 25, 2015 at 10:27PM",0,0
NA,"November 02, 2015 at 07:06PM",0,0
NA,"October 21, 2015 at 10:09AM",0,0
https://t.co/XqsqVGtEgs,"October 21, 2015 at 10:02AM",0,0
NA,"October 29, 2015 at 12:17AM",0,0
NA,"September 10, 2015 at 04:05AM",0,0
NA,"October 19, 2015 at 11:20PM",0,0
NA,"October 27, 2015 at 10:55PM",1,1
NA,"October 26, 2015 at 03:06PM",0,0
NA,"October 25, 2015 at 11:51PM",0,0
NA,"October 22, 2015 at 07:55PM",0,0
NA,"August 19, 2015 at 01:49PM",0,0
NA,"September 08, 2015 at 05:22PM",0,0
NA,"September 08, 2015 at 04:58PM",0,0
NA,"October 08, 2015 at 12:03PM",0,0
NA,"November 24, 2015 at 12:16AM",0,0
NA,"November 10, 2015 at 06:18AM",0,0
NA,"October 15, 2015 at 06:17AM",0,0
NA,"October 23, 2015 at 09:45PM",0,0
NA,"September 08, 2015 at 10:50AM",0,0
https://t.co/jPYjJkDPaP,"November 24, 2015 at 04:18PM",0,0
NA,"November 18, 2015 at 02:44AM",0,0
NA,"November 15, 2015 at 06:54PM",0,0
